year,no,key,link,item,item2
110,1,C,,"關於乾癬的致病機轉及臨床表現，下列敘述何者正確？
①指甲出現oil spotting是屬於乾癬的特異性表現，主要是乾癬影響distal nail matrix所造成的。
②患者產生myocardial infarction 的風險增加，但不包括較年輕的族群。
③目前推測的機轉為dendritic cells 表面上的HLA-Cw6會呈現peptides抗原，並和T 細胞接受器(T-cell receptor)接合，進而活化CD8+ T 細胞，分泌細胞激素等發炎物質。
④IL-13維持Th17和Th22細胞的功能，這兩種T細胞所分泌的IL-17和IL-22在維持乾癬發炎反應扮演重要的角色。
A. ①　　B. ②　　C. ③　　D. ④","Regarding the pathogenesis and clinical manifestations of psoriasis, which of the following statements is correct?
①Oil spotting on nails is a specific manifestation of psoriasis, which is mainly caused by psoriasis affecting the distal nail matrix.
②Patients have an increased risk of developing myocardial infarction, but this does not include younger groups.
③The currently speculated mechanism is that HLA-Cw6 on the surface of dendritic cells will present peptides antigens and engage with T-cell receptors, thereby activating CD8+ T cells and secreting inflammatory substances such as cytokines.
④IL-13 maintains the function of Th17 and Th22 cells. IL-17 and IL-22 secreted by these two T cells play an important role in maintaining the inflammatory response of psoriasis.
A. ① B. ② C. ③ D. ④"
110,2,C,,"關於miliaria，下列敘述何者錯誤？
①容易發生在悶熱潮濕的狀況。
②miliaria crystallina的汗腺阻塞發生在角質層，臨床上呈現細小、清澈、易破的水泡。
③miliaria rubra的汗腺阻塞發生在真皮層，臨床上呈現會癢的紅色丘疹。
④miliaria profunda臨床上的表現為白色丘疹。
A. ①　　B. ②　　C. ③　　D. ④","Regarding miliaria, which of the following statements is incorrect?
①Easy to occur in hot and humid conditions.
②The sweat gland obstruction of miliaria crystallina occurs in the stratum corneum, and clinically appears as small, clear, and easily broken blisters.
③The sweat gland obstruction of miliaria rubra occurs in the dermis, clinically presenting as itchy red papules.
④The clinical manifestations of miliaria profunda are white papules.
A. ① B. ② C. ③ D. ④"
110,3,A,,"下列孕婦出現的皮膚變化何者較可能增加對胎兒的風險 (fetal risk)？
①甲孕婦在第三懷孕期開始全身發癢，並有全身黃疸現象。
②乙孕婦有異位性皮膚炎病史，在第二懷孕期開始在脖子及四肢屈側出現濕疹樣變化。
③丙孕婦在第三懷孕期在軀幹開始出現urticarial plaques，並開始產生水泡。
④丁孕婦在第三懷孕期開始在肚皮妊娠紋上出現會癢的丘疹，之後擴散至整個軀幹。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Which of the following skin changes in pregnant women is more likely to increase the risk to the fetus?
① Pregnant woman A began to feel itchy and jaundice all over her body in her third trimester.
② Pregnant woman B has a history of atopic dermatitis. During the second trimester, she began to develop eczema-like changes on her neck and flexors of her limbs.
③ In the third trimester of pregnancy, urticarial plaques begin to appear on the trunk of pregnant women, and blisters begin to form.
④In the third trimester of pregnancy, pregnant women start to develop itchy pimples on stretch marks on their belly, which then spread to the entire trunk.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,4,D,,"下列何者不是皮膚的抗氧化 (anti-oxidation)系統的一部分？
①superoxide dismutase
②glutathione peroxidase
③flavonoids
④tyrosinase
A. ①　　B. ②　　C. ③　　D. ④","Which of the following is not part of the skin's anti-oxidation system?
①superoxide dismutase
②glutathione peroxidase
③flavonoids
④tyrosinase
A. ① B. ② C. ③ D. ④"
110,5,D,,"一位28歲體重75公斤的女性患者罹患中重度乾癬(病灶佔全身體表面積35%)且合併有inflammatory bowel disease，因為近期要結婚，所以決定來門診治療，對於此患者的治療計畫，下列敘述何者正確？
①照光治療建議使用在病灶體表面積小於20%的患者，所以不是此女性患者的治療選擇。
②建議優先施打ixekizumab 和secukinumab 等IL-17抑制劑。
③患者有懷孕計畫，口服藥物包括acitretin, methotrexate以及cyclosporine都有致畸胎性(teratogenic)，需要避免使用。
④患者如果接受ustekinumab治療，每次施打劑量建議為45mg。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","A 28-year-old female patient weighing 75 kg suffers from moderate to severe psoriasis (the lesions occupy 35% of the body surface area) and inflammatory bowel disease. Because she is getting married soon, she decided to come for outpatient treatment. Regarding this patient's treatment plan, which of the following statements is correct?
① Light therapy is recommended for patients with lesions whose body surface area is less than 20%, so it is not a treatment option for this female patient.
② It is recommended to give priority to IL-17 inhibitors such as ixekizumab and secukinumab.
③If the patient is planning to become pregnant, oral drugs including acitretin, methotrexate and cyclosporine are teratogenic and need to be avoided.
④If the patient receives ustekinumab treatment, the recommended dose for each injection is 45mg.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,6,A,,"關於vascular tumors，下列敘述何者錯誤？
①Kasabach-Merritt phenomenon為紅血球滯留於腫瘤內造成之現象，可見於tufted angioma及kaposiform hemangioendothelioma。
②spindle-cell hemangioma常出現於Maffucci syndrome。
③infantile hemangioma可使用systemic beta-blocker治療，topical beta-blocker則無效。
④congenital hemangioma於出生時就會出現。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding vascular tumors, which of the following statements is incorrect?
①The Kasabach-Merritt phenomenon is caused by the retention of red blood cells in tumors and can be seen in tufted angioma and kaposiform hemangioendothelioma.
②Spindle-cell hemangioma often occurs in Maffucci syndrome.
③Infantile hemangioma can be treated with systemic beta-blocker, but topical beta-blocker is not effective.
④Congenital hemangioma appears at birth.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,7,A,,"有關oral hairy leukoplakia，下列敘述何者錯誤？
①需積極治療，否則易malignant transformation。
②在免疫力低下的病患，可能是由Epstein-Barr virus感染黏膜上皮引起。
③此疾病必需使用antiretroviral藥物治療才能改善。
④常發生於舌頭側面，以壓舌板不易刮下。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding oral hairy leukoplakia, which of the following statements is incorrect?
①Active treatment is required, otherwise it is easy to malignant transformation.
②In patients with low immunity, it may be caused by Epstein-Barr virus infection of mucosal epithelium.
③This disease must be treated with antiretroviral drugs to improve it.
④It often occurs on the side of the tongue and is difficult to remove with a tongue depressor.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,8,C,,"長期服用下列藥物之男性若近期準備生育，下列建議何者正確？
①methotrexate：先停用三個月。
②cyclosporine：無影響，可繼續服用。
③finasteride：無影響，可繼續服用。
④acitretin：因會對精蟲有影響，需停用。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","If a man who has been taking the following drugs for a long time is planning to have a baby in the near future, which of the following suggestions is correct?
①Methotrexate: Stop using it for three months.
②Cyclosporine: No effect, you can continue to take it.
③Finasteride: No effect, can continue to be taken.
④Acitretin: Because it will affect sperm, it needs to be discontinued.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,9,A,,"有關eosinophilic pustular folliculitis，下列敘述何者正確？
①確診患者應排除是否有HIV感染。
②病理切片可見毛囊及其周邊eosinophils浸潤，但周邊血液之eosinophils通常不會增加。
③三型中以infantile type預後最好，其餘兩型則病程慢性且易復發。
④第一線治療選擇外用類固醇或calcineurin inhibitor，或口服tetracycline。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding eosinophilic pustular folliculitis, which of the following statements is correct?
①Confirmed patients should be ruled out for HIV infection.
② Pathological sections show infiltration of eosinophils in hair follicles and their surroundings, but eosinophils in the peripheral blood usually do not increase.
③Among the three types, the infantile type has the best prognosis, while the other two types have a chronic course and are prone to recurrence.
④The first-line treatment options are topical steroids or calcineurin inhibitor, or oral tetracycline.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
110,10,C,,"關於慢性自發性蕁麻疹(chronic spontaneous urticaria)，下列敘述何者正確？
①大約1/3到1/2的患者可以在血液中偵測出和IgE或high-affinity IgE受體(FcεRI)拮抗
的IgG autoantibodies。
②治療首選為第二代非啫睡抗組織胺，治療反應不佳可以提高到四倍標準劑量，若仍無效則可考慮使用omalizumab。
③同時存在有thyroglobulin 和thyroid peroxidase (TPO) 等autoantibodies的患者，大多甲狀腺功能正常。
④autologous serum skin test (ASST) 陽性患者相較於陰性患者，病情更容易控制，對於omalizumab 的治療反應更快。
A. ①③　　B. ②④　　C. ①②③　　D. ④　　E. ①②③④","Regarding chronic spontaneous urticaria, which of the following statements is correct?
①About 1/3 to 1/2 of patients can detect IgE or high-affinity IgE receptor (FcεRI) antagonism in the blood
IgG autoantibodies.
②The first choice for treatment is the second generation non-somalant antihistamine. If the treatment response is poor, the dose can be increased to four times the standard dose. If it is still ineffective, omalizumab can be considered.
③In patients with autoantibodies such as thyroglobulin and thyroid peroxidase (TPO), most of them have normal thyroid function.
④Compared with patients with negative autologous serum skin test (ASST), patients with autologous serum skin test (ASST) are easier to control and respond faster to omalizumab treatment.
A. ①③ B. ②④ C. ①②③ D. ④ E. ①②③④"
